created_at,text,url,replies,retweets,favorites,user
2017-10-14T21:27:00Z,The Democrats in the Southwest part of Virginia have been abandoned by their Party. Republican Ed Gillespie will never let you down!,https://twitter.com/realDonaldTrump/status/919313707355787264,13987,16002,70948,realDonaldTrump
2017-10-14T11:27:00Z,Very proud of my Executive Order which will allow greatly expanded access and far lower costs for HealthCare. Millions of people benefit!,https://twitter.com/realDonaldTrump/status/919162619889704961,48380,22821,118334,realDonaldTrump
2017-10-14T11:18:00Z,"Health Insurance stocks, which have gone through the roof during the ObamaCare years, plunged yesterday after I ended their Dems windfall!",https://twitter.com/realDonaldTrump/status/919160558712172544,21025,18450,84286,realDonaldTrump
2017-10-14T11:12:00Z,"RT @realDonaldTrump: ""Consumer confidence soars to highest level since 2004""_���https://t.co/RvxCPAFI2A https://t.co/U8MS9K45fX",https://twitter.com/realDonaldTrump/status/919158911164444672,10648,11415,48761,realDonaldTrump
2017-10-14T11:08:00Z,RT @RightlyNews: @realDonaldTrump @LouDobbs Trust in the media is at the lowest level in all of U.S. history. The American people see throu��_,https://twitter.com/realDonaldTrump/status/919157971627724800,3701,6951,22148,realDonaldTrump
2017-10-14T11:08:00Z,RT @RightlyNews: @realDonaldTrump @LouDobbs It is NOT a coincidence that the economy boomed immediately after the 2016 election.,https://twitter.com/realDonaldTrump/status/919157838106300416,2493,5116,21382,realDonaldTrump
2017-10-14T01:31:00Z,"Such a wonderful statement from the great @LouDobbs. ""We take up what may be the most accomplished presidency in modern American history.""",https://twitter.com/realDonaldTrump/status/919012714827145216,27248,16036,68343,realDonaldTrump
2017-10-14T01:17:00Z,"ObamaCare is causing such grief and tragedy for so many. It is being dismantled but in the meantime, premiums &amp; deductibles are way up!",https://twitter.com/realDonaldTrump/status/919009334016856065,20860,12409,61333,realDonaldTrump
2017-10-14T01:10:00Z,"Money pouring into Insurance Companies profits, under the guise of ObamaCare, is over. They have made a fortune.Dems must get smart &amp; deal!",https://twitter.com/realDonaldTrump/status/919007577681354752,11936,15836,69004,realDonaldTrump
2017-10-14T01:02:00Z,"Many people talking, with much agreement, on my Iran speech today. Participants in the deal are making lots of money on trade with Iran!",https://twitter.com/realDonaldTrump/status/919005534883328000,13206,11322,54400,realDonaldTrump
2017-10-14T00:53:00Z,Starting to develop a much better relationship with Pakistan and its leaders. I want to thank them for their cooperation on many fronts.,https://twitter.com/realDonaldTrump/status/919003314674634752,8548,14110,69956,realDonaldTrump
2017-10-13T22:01:00Z,#WeeklyAddress_���_��� https://t.co/riqEiBNwk2,https://twitter.com/realDonaldTrump/status/918960024256434176,10361,10661,41463,realDonaldTrump
2017-10-13T18:09:00Z,"Today, I announced our strategy to confront the Iranian regime�۪s hostile actions and to ensure that they never acquire a nuclear weapon. https://t.co/N4ISdjuEdC",https://twitter.com/realDonaldTrump/status/918901399080935424,24139,17628,66703,realDonaldTrump
2017-10-13T17:41:00Z,"""Consumer confidence soars to highest level since 2004""_���https://t.co/RvxCPAFI2A https://t.co/U8MS9K45fX",https://twitter.com/realDonaldTrump/status/918894502185787392,10648,11415,48760,realDonaldTrump
2017-10-13T17:07:00Z,"In America, we don't worship government - we worship God. #ValuesVotersSummit https://t.co/YQ3iDlWylK",https://twitter.com/realDonaldTrump/status/918885859230875649,32561,21144,80088,realDonaldTrump
2017-10-13T16:30:00Z,"I have no greater privilege than to serve as your Commander-in-Chief. HAPPY BIRTHDAY to the incredible men and women @USNavy!#242NavyBday https://t.co/qcdB4U8CqA",https://twitter.com/realDonaldTrump/status/918876603148652544,7944,16679,73223,realDonaldTrump
2017-10-13T12:01:00Z,"The wonderful people of Puerto Rico, with their unmatched spirit, know how bad things were before the H's. I will always be with them!",https://twitter.com/realDonaldTrump/status/918808798059483136,24130,11952,63444,realDonaldTrump
2017-10-13T11:51:00Z,"Hard to believe that the Democrats, who have gone so far LEFT that they are no longer recognizable, are fighting so hard for Sanctuary crime",https://twitter.com/realDonaldTrump/status/918806396875010048,16911,22856,93243,realDonaldTrump
2017-10-13T11:14:00Z,ObamaCare is a broken mess. Piece by piece we will now begin the process of giving America the great HealthCare it deserves!,https://twitter.com/realDonaldTrump/status/918797009133465600,27074,15484,76335,realDonaldTrump
2017-10-13T11:10:00Z,"Sadly, they and others are Fake News, and the public is just beginning to figure it out! https://t.co/8B8AyA7V1s",https://twitter.com/realDonaldTrump/status/918796079243677696,13861,11886,51835,realDonaldTrump
2017-10-13T11:07:00Z,RT @billoreilly: A free press is vital to protecting all Americans. A corrupt press damages the Republic.,https://twitter.com/realDonaldTrump/status/918795362122465280,10478,15600,58656,realDonaldTrump
2017-10-13T09:36:00Z,The Democrats ObamaCare is imploding. Massive subsidy payments to their pet insurance companies has stopped. Dems should call me to fix!,https://twitter.com/realDonaldTrump/status/918772522983874561,26233,14210,64278,realDonaldTrump
2017-10-13T01:18:00Z,"It is time to take care of OUR COUNTRY, to rebuild OUR COMMUNITIES, and to protect our GREAT AMERICAN WORKERS! #TaxReform https://t.co/FEjGjT4xp9",https://twitter.com/realDonaldTrump/status/918647067224035334,19420,16519,68860,realDonaldTrump
2017-10-13T00:12:00Z,People are just now starting to find out how dishonest and disgusting (FakeNews) @NBCNews is. Viewers beware. May be worse than even @CNN!,https://twitter.com/realDonaldTrump/status/918630610167529472,34440,22417,87876,realDonaldTrump
2017-10-12T20:19:00Z,"Happy #NationalFarmersDay!_���https://t.co/dN39R1IMlA https://t.co/QbUG1pztaI",https://twitter.com/realDonaldTrump/status/918571860308254720,5676,11003,50237,realDonaldTrump
2017-10-12T18:17:00Z,"We need a tax system that is FAIR to working FAMILIES &amp; that encourages companies to STAY in AMERICA, GROW in AMERICA, and HIRE in AMERICA! https://t.co/DdI1yWi7YZ",https://twitter.com/realDonaldTrump/status/918541193037967361,15778,15634,68400,realDonaldTrump
2017-10-12T17:06:00Z,"The time has come to take action to IMPROVE access, INCREASE choices, and LOWER COSTS for HEALTHCARE! �_����https://t.co/mz5fdveTVh https://t.co/dDZLsKuNSe",https://twitter.com/realDonaldTrump/status/918523263554412544,14809,12871,52133,realDonaldTrump
2017-10-12T12:45:00Z,The Fake News Is going all out in order to demean and denigrate! Such hatred!,https://twitter.com/realDonaldTrump/status/918457595618365441,44247,16952,80822,realDonaldTrump
2017-10-12T11:07:00Z,"...We cannot keep FEMA, the Military &amp; the First Responders, who have been amazing (under the most difficult circumstances) in P.R. forever!",https://twitter.com/realDonaldTrump/status/918432809282342912,52820,13444,65091,realDonaldTrump
2017-10-12T10:58:00Z,...accountability say the Governor. Electric and all infrastructure was disaster before hurricanes. Congress to decide how much to spend....,https://twitter.com/realDonaldTrump/status/918430769776914432,9002,10187,51045,realDonaldTrump
2017-10-12T10:49:00Z,"""Puerto Rico survived the Hurricanes, now a financial crisis looms largely of their own making."" says Sharyl Attkisson. A total lack of.....",https://twitter.com/realDonaldTrump/status/918428456869916672,12861,10212,47512,realDonaldTrump
2017-10-12T10:04:00Z,Clips from tax speech and @seanhannity on @foxandfriends now. Have a great day!,https://twitter.com/realDonaldTrump/status/918417002733154305,8298,6746,37811,realDonaldTrump
2017-10-12T00:55:00Z,RT @realDonaldTrump: I will be interviewed tonight on @FoxNews by @SeanHannity at 9pmE. Enjoy!,https://twitter.com/realDonaldTrump/status/918279015928037377,27758,10413,58004,realDonaldTrump
2017-10-12T00:40:00Z,"In even the darkest moments, the light of our people has shown through their goodness, their courage and their love. #USA_���_��� https://t.co/8JK8aM2a1L",https://twitter.com/realDonaldTrump/status/918275261011038210,11589,13542,60870,realDonaldTrump
2017-10-12T00:09:00Z,"Network news has become so partisan, distorted and fake that licenses must be challenged and, if appropriate, revoked. Not fair to public!",https://twitter.com/realDonaldTrump/status/918267396493922304,50870,20353,88093,realDonaldTrump
2017-10-11T23:56:00Z,Joining @SeanHannity tonight at 9pmE on @FoxNews. Enjoy! https://t.co/RCfiJus5Rw,https://twitter.com/realDonaldTrump/status/918263984029085697,6575,5622,31815,realDonaldTrump
2017-10-11T23:28:00Z,"We need a tax system that is FAIR to working families &amp; that encourages companies to STAY in America, GROW in America, and HIRE in America_���_��� https://t.co/u9ZgijgLE3",https://twitter.com/realDonaldTrump/status/918257107182473216,11035,12300,56722,realDonaldTrump
2017-10-11T21:32:00Z,I will be interviewed tonight on @FoxNews by @SeanHannity at 9pmE. Enjoy!,https://twitter.com/realDonaldTrump/status/918227740700102657,27759,10413,58004,realDonaldTrump
2017-10-11T21:18:00Z,"Join me LIVE at 5:45pmE from Harrisburg, Pennsylvania! #TaxReform #USA_���_���https://t.co/fDUEMpRTcE https://t.co/1mMjl1HNpl",https://twitter.com/realDonaldTrump/status/918224393062551552,5753,5102,28044,realDonaldTrump
2017-10-11T19:49:00Z,Happy to announce we are awarding $1M to Las Vegas - in order to help local law enforcement working OT to respond to last Sunday�۪s tragedy.,https://twitter.com/realDonaldTrump/status/918201878479073280,19964,19148,114355,realDonaldTrump
2017-10-11T13:55:00Z,"With all of the Fake News coming out of NBC and the Networks, at what point is it appropriate to challenge their License? Bad for country!",https://twitter.com/realDonaldTrump/status/918112884630093825,77190,23298,99370,realDonaldTrump
2017-10-11T13:45:00Z,"Fake @NBCNews made up a story that I wanted a ""tenfold"" increase in our U.S. nuclear arsenal. Pure fiction, made up to demean. NBC = CNN!",https://twitter.com/realDonaldTrump/status/918110279367643137,18906,18969,73958,realDonaldTrump
2017-10-11T10:47:00Z,It is about time that Roger Goodell of the NFL is finally demanding that all players STAND for our great National Anthem-RESPECT OUR COUNTRY,https://twitter.com/realDonaldTrump/status/918065431939829760,40299,20499,105608,realDonaldTrump
2017-10-11T10:36:00Z,"The Democrats want MASSIVE tax increases &amp; soft, crime producing borders.The Republicans want the biggest tax cut in history &amp; the WALL!",https://twitter.com/realDonaldTrump/status/918062778522505216,19442,19443,84611,realDonaldTrump
